,Speed,43,60 - Focus Blast,,Speed,58,60 - Focus Blast,,Speed,58(-20),60 - Focus Blast,,,,,,,,,,,,,,,,,,,,
,,,,,Evolves at level 16.,,,,Evolves at level 36.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Now learns TM33, TM52",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caterpie,,Learnset,,Metapod,,Learnset,,Butterfree,,Learnset,,,,,,,,,,,,,,,,,,,,
,,,1 - String Shot,,,,1 - Harden,,,,1 - String Shot,,,,,,,,,,,,,,,,,,,,
,,,1 - Tackle,,,,7 - Harden,,,,1 - Bug Bite,,,,,,,,,,,,,,,,,,,,
,,,15 - Bug Bite,,,,,,,,10 - Confusion,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,13 - PoisonPowder,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,14 - Stun Spore,,,,,,,,,,,,,,,,,,,,
,BUG,,,,BUG,,,,BUG,PSYCHIC,16 - Struggle Bug,,,,,,,,,,,,,,,,,,,,
,Ability 1,Shield Dust,,,Ability 1,Shield Dust,,,Ability 1,Compound Eyes,20 - Sleep Powder,,,,,,,,,,,,,,,,,,,,
,Ability 2,Shield Dust,,,Ability 2,Shield Dust,,,Ability 2,Compound Eyes,23 - Signal Beam,,,,,,,,,,,,,,,,,,,,
,Base Stats,,,,Base Stats,,,,Base Stats,,26 - Extrasensory,,,,,,,,,,,,,,,,,,,,
,HP,45,,,HP,50,,,HP,70(+10),30 - Bug Buzz,,,,,,,,,,,,,,,,,,,,
,Attack,30,,,Attack,20,,,Attack,45,33 - Psychic,,,,,,,,,,,,,,,,,,,,
,Defense,35,,,Defense,55,,,Defense,70(+20),36 - Tailwind,,,,,,,,,,,,,,,,,,,,
,Special Attack,20,,,Special Attack,25,,,Special Attack,110(+20),40 - Rage Powder,,,,,,,,,,,,,,,,,,,,
,Special Defense,20,,,Special Defense,25,,,Special Defense,80,,,,,,,,,,,,,,,,,,,,,
,Speed,45,,,Speed,30,,,Speed,90(+20),,,,,,,,,,,,,,,,,,,,,
,,,,,Evolves at level 7,,,,Evolves at level 10.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weedle,,Learnset,,Kakuna,,Learnset,,Beedrill,,Learnset,,,,,,,,,,,,,,,,,,,,
,,,1 - String Shot,,,,1 - Harden,,,,1 - String Shot,,,,,,,,,,,,,,,,,,,,
,,,1 - Poison Sting,,,,7 - Harden,,,,1 - Poison Sting,,,,,,,,,,,,,,,,,,,,
,,,15 - Bug Bite,,,,,,,,10 - Bug Bite,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,17 - Poison Tail,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,22 - Twineedle,,,,,,,,,,,,,,,,,,,,
,BUG,POISON,,,BUG,POISON,,,BUG,POISON,26 - Smog,,,,,,,,,,,,,,,,,,,,
,Ability 1,Poison Point,,,Ability 1,Poison Point,,,Ability 1,Adaptability,30 - Poison Jab,,,,,,,,,,,,,,,,,,,,
,Ability 2,Poison Point,,,Ability 2,Poison Point,,,Ability 2,Adaptability,33 - X-Scissor,,,,,,,,,,,,,,,,,,,,
,Base Stats,,,,Base Stats,,,,Base Stats,,40 - Gunk Shot,,,,,,,,,,,,,,,,,,,,
,HP,40,,,HP,45,,,HP,85(+20),45 - Horn Drill,,,,,,,,,,,,,,,,,,,,
,Attack,35,,,Attack,25,,,Attack,100(+10),50 - U-Turn,,,,,,,,,,,,,,,,,,,,
,Defense,30,,,Defense,50,,,Defense,50(+10),,,,,,,,,,,,,,,,,,,,,
,Special Attack,20,,,Special Attack,25,,,Special Attack,45,,,,,,,,,,,,,,,,,,,,,
,Special Defense,20,,,Special Defense,25,,,Special Defense,80,,,,,,,,,,,,,,,,,,,,,
,Speed,50,,,Speed,35,,,Speed,105(+30),,,,,,,,,,,,,,,,,,,,,
,,,,,Evolves at level 7,,,,Evolves at level 10.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pidgey,,Learnset,,Pidgeotto,,Learnset,,Pidgeot,,Learnset,,,,,,,,,,,,,,,,,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle,,,,,,,,,,,,,,,,,,,,
,,,1 - Gust,,,,1 - Gust,,,,1 - Gust,,,,,,,,,,,,,,,,,,,,
,,,5 - Vacuum Wave,,,,5 - Vacuum Wave,,,,5 - Vacuum Wave,,,,,,,,,,,,,,,,,,,,
,,,10 - Air Cutter,,,,10 - Air Cutter,,,,10 - Air Cutter,,,,,,,,,,,,,,,,,,,,
,,,16 - FeatherDance,,,,16 - FeatherDance,,,,16 - FeatherDance,,,,,,,,,,,,,,,,,,,,
,FIGHTING,FLYING,20 - Wake-Up Slap,,FIGHTING,FLYING,20 - Wake-Up Slap,,FIGHTING,FLYING,20 - Wake-Up Slap,,,,,,,,,,,,,,,,,,,,
,Ability 1,No Guard,26 - Air Slash,,Ability 1,No Guard,26 - Air Slash,,Ability 1,No Guard,26 - Air Slash,,,,,,,,,,,,,,,,,,,,
,Ability 2,Quick Feet,32 - Aura Sphere,,Ability 2,Quick Feet,32 - Aura Sphere,,Ability 2,Quick Feet,32 - Aura Sphere,,,,,,,,,,,,,,,,,,,,
,Base Stats,,36 - Roost,,Base Stats,,36 - Roost,,Base Stats,,36 - Roost,,,,,,,,,,,,,,,,,,,,
,HP,40,42 - Heat Wave,,HP,63,42 - Heat Wave,,HP,83,42 - Heat Wave,,,,,,,,,,,,,,,,,,,,
,Attack,35(-10),50 - Aeroblast,,Attack,50(-10),50 - Aeroblast,,Attack,60(-20),50 - Aeroblast,,,,,,,,,,,,,,,,,,,,
,Defense,40,54 - Thunder,,Defense,65(+10),54 - Thunder,,Defense,75,54 - Thunder,,,,,,,,,,,,,,,,,,,,
,Special Attack,65(+30),58 - Hurricane,,Special Attack,90(+40),58 - Hurricane,,Special Attack,115(+45),58 - Hurricane,,,,,,,,,,,,,,,,,,,,
,Special Defense,35,62 - Focus Blast,,Special Defense,60(+10),62 - Focus Blast,,Special Defense,70,62 - Focus Blast,,,,,,,,,,,,,,,,,,,,
,Speed,61(+5),,,Speed,81(+10),,,Speed,101(+10),,,,,,,,,,,,,,,,,,,,,
,,,,,Evolves at level 16.,,,,Evolves at level 36.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Now learns TM25, TM52",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rattata,,Learnset,,Raticate,,Learnset,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 - Tail Whip,,,,1 - Tail Whip,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 - Quick Attack,,,,1 - Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,
,,,10 - Poison Fang,,,,10 - Poison Fang,,,,,,,,,,,,,,,,,,,,,,,,
,,,15 - Headbutt,,,,15 - Headbutt,,,,,,,,,,,,,,,,,,,,,,,,
,NORMAL,POISON,18 - Hyper Fang,,NORMAL,POISON,18 - Hyper Fang,,,,,,,,,,,,,,,,,,,,,,,,
,Ability 1,Guts,22 - Ice Fang,,Ability 1,Guts,22 - Ice Fang,,,,,,,,,,,,,,,,,,,,,,,,
,Ability 2,Guts,22 - Fire Fang,,Ability 2,Guts,22 - Fire Fang,,,,,,,,,,,,,,,,,,,,,,,,
,Base Stats,,22 - Thunder Fang,,Base Stats,,22 - Thunder Fang,,,,,,,,,,,,,,,,,,,,,,,,
,HP,40(+10),25 - Submission,,HP,65(+10),25 - Submission,,,,,,,,,,,,,,,,,,,,,,,,
,Attack,76(+20),28 - Poison Jab,,Attack,98(+17),28 - Poison Jab,,,,,,,,,,,,,,,,,,,,,,,,
,Defense,45(+10),36 - Take Down,,Defense,70(+10),36 - Take Down,,,,,,,,,,,,,,,,,,,,,,,,
,Special Attack,25,44 - Double-Edge,,Special Attack,50,44 - Double-Edge,,,,,,,,,,,,,,,,,,,,,,,,
,Special Defense,45(+10),50 - Gunk Shot,,Special Defense,70,50 - Gunk Shot,,,,,,,,,,,,,,,,,,,,,,,,
,Speed,82(+10),63 - Facade,,Speed,107(+10),63 - Facade,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Evolves at level 15.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Now learns TM84,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spearow,,Learnset,,Fearow,,Learnset,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 - Peck,,,,1 - Peck,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 - Growl,,,,1 - Growl,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 - Pursuit,,,,1 - Pursuit,,,,,,,,,,,,,,,,,,,,,,,,
,,,7 - Wing Attack,,,,7 - Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,
,,,10 - Knock Off,,,,10 - Knock Off,,,,,,,,,,,,,,,,,,,,,,,,
,DARK,FLYING,16 - Taunt,,DARK,FLYING,16 - Taunt,,,,,,,,,,,,,,,,,,,,,,,,
,Ability 1,Intimidate,20 - Faint Attack,,Ability 1,Intimidate,20 - Faint Attack,,,,,,,,,,,,,,,,,,,,,,,,
,Ability 2,Intimidate,24 - Aerial Ace,,Ability 2,Intimidate,24 - Aerial Ace,,,,,,,,,,,,,,,,,,,,,,,,
,Base Stats,,28 - Fling,,Base Stats,,28 - Fling,,,,,,,,,,,,,,,,,,,,,,,,
,HP,50(+10),31 - Drill Peck,,HP,75(+10),31 - Drill Peck,,,,,,,,,,,,,,,,,,,,,,,,
,Attack,70(+10),35 - Night Slash,,Attack,110(+20),35 - Night Slash,,,,,,,,,,,,,,,,,,,,,,,,
,Defense,50(+20),40 - Drill Run,,Defense,75(+10),40 - Drill Run,,,,,,,,,,,,,,,,,,,,,,,,
,Special Attack,31,44 - Sucker Punch,,Special Attack,51(-10),44 - Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,
,Special Defense,51(+20),50 - Sky Attack,,Special Defense,76(+15),50 - Sky Attack,,,,,,,,,,,,,,,,,,,,,,,,
,Speed,80(+10),,,Speed,100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Evolves at level 20.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ekans,,Learnset,,Arbok,,Learnset,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 - Leer,,,,1 - Leer,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 - Bite,,,,1 - Bite,,,,,,,,,,,,,,,,,,,,,,,,
,,,8 - Screech,,,,8 - Screech,,,,,,,,,,,,,,,,,,,,,,,,
,,,10 - Knock Off,,,,10 - Knock Off,,,,,,,,,,,,,,,,,,,,,,,,
,,,13 - Poison Fang,,,,13 - Poison Fang,,,,,,,,,,,,,,,,,,,,,,,,
,POISON,,16 - Dragon Tail,,POISON,DRAGON,16 - Dragon Tail,,,,,,,,,,,,,,,,,,,,,,,,
,Ability 1,Intimidate,18 - Smog,,Ability 1,Intimidate,18 - Smog,,,,,,,,,,,,,,,,,,,,,,,,
,Ability 2,Unnerve,20 - Glare,,Ability 2,Unnerve,20 - Glare,,,,,,,,,,,,,,,,,,,,,,,,
,Base Stats,,23 - Dragon Claw,,Base Stats,,23 - Dragon Claw,,,,,,,,,,,,,,,,,,,,,,,,
,HP,55(+20),27 - Poison Jab,,HP,80(+20),27 - Poison Jab,,,,,,,,,,,,,,,,,,,,,,,,
,Attack,70(+10),32 - Sucker Punch,,Attack,105(+10),32 - Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,
,Defense,44,35 - Superpower,,Defense,69,35 - Superpower,,,,,,,,,,,,,,,,,,,,,,,,
,Special Attack,40,38 - Gunk Shot,,Special Attack,65,38 - Gunk Shot,,,,,,,,,,,,,,,,,,,,,,,,
,Special Defense,64(+10),41 - Dragon Rush,,Special Defense,89(+10),41 - Dragon Rush,,,,,,,,,,,,,,,,,,,,,,,,
,Speed,65(+10),,,Speed,90(+10),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Evolves at level 22.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pikachu,,Learnset,,Raichu,,Learnset,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 - ThunderShock,,,,1 - ThunderShock,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 - Growl,,,,1 - Growl,,,,,,,,,,,,,,,,,,,,,,,,
,,,6 - Mud-Slap,,,,6 - Mud-Slap,,,,,,,,,,,,,,,,,,,,,,,,
,,,8 - Thunder Wave,,,,8 - Thunder Wave,,,,,,,,,,,,,,,,,,,,,,,,
,,,11 - Quick Attack,,,,11 - Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,
,ELECTRIC,,15 - Spark,,ELECTRIC,GROUND,15 - Spark,,,,,,,,,,,,,,,,,,,,,,,,
,Ability 1,Volt Absorb,20 - Mud Shot,,Ability 1,Volt Absorb,20 - Mud Shot,,,,,,,,,,,,,,,,,,,,,,,,
,Ability 2,Static,23 - Helping Hand,,Ability 2,Mold Breaker,23 - Helping Hand,,,,,,,,,,,,,,,,,,,,,,,,
,Base Stats,,26 - Electroweb,,Base Stats,,26 - Electroweb,,,,,,,,,,,,,,,,,,,,,,,,
,HP,35,29 - Shock Wave,,HP,70(+10),29 - Shock Wave,,,,,,,,,,,,,,,,,,,,,,,,
,Attack,55,32 - Mud Bomb,,Attack,70(-20),32 - Mud Bomb,,,,,,,,,,,,,,,,,,,,,,,,
,Defense,40,36 - Wide Guard,,Defense,55,36 - Wide Guard,,,,,,,,,,,,,,,,,,,,,,,,
,Special Attack,70(+20),40 - Earth Power,,Special Attack,110(+20),40 - Earth Power,,,,,,,,,,,,,,,,,,,,,,,,
,Special Defense,50,44 - Thunderbolt,,Special Defense,80,44 - Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,
,Speed,90,48 - Surf,,Speed,120(+20),48 - Surf,,,,,,,,,,,,,,,,,,,,,,,,
,,,54 - Zap Cannon,,Evolves via Thunder Stone,,54 - Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,
,,,70 - Volt Switch,,"Now learns HM03, TM19",,70 - Volt Switch,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sandshrew,,Learnset,,Sandslash,,Learnset,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 - Rapid Spin,,,,1 - Rapid Spin,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 - Tail Whip,,,,1 - Tail Whip,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 - Bulldoze,,,,1 - Bulldoze,,,,,,,,,,,,,,,,,,,,,,,,
,,,6 - Rock Tomb,,,,6 - Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,
,,,11 - Knock Off,,,,11 - Knock Off,,,,,,,,,,,,,,,,,,,,,,,,
,GROUND,ROCK,18 - Rock Slide,,GROUND,ROCK,18 - Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,
,Ability 1,Rough Skin,24 - Dig,,Ability 1,Rough Skin,24 - Dig,,,,,,,,,,,,,,,,,,,,,,,,
,Ability 2,Sand Rush,30 - Rock Climb,,Ability 2,Sand Rush,30 - Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,
,Base Stats,,37 - Earthquake,,Base Stats,,37 - Earthquake,,,,,,,,,,,,,,,,,,,,,,,,
,HP,50,42 - Stone Edge,,HP,75,42 - Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,
,Attack,75,46 - Detect,,Attack,110(+10),46 - Detect,,,,,,,,,,,,,,,,,,,,,,,,
,Defense,85,55 - Fissure,,Defense,120(+10),55 - Fissure,,,,,,,,,,,,,,,,,,,,,,,,
,Special Attack,20,,,Special Attack,45,,,,,,,,,,,,,,,,,,,,,,,,,
,Special Defense,30,,,Special Defense,55,,,,,,,,,,,,,,,,,,,,,,,,,
,Speed,60(+20),,,Speed,85(+20),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Evolves at level 22.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Now learns TM23, TM71",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nidoran♀,,Learnset,,Nidorina,,Learnset,,Nidoqueen,,Learnset,,,,,,,,,,,,,,,,,,,,
,,,1 - Growl,,,,1 - Growl,,,,1 - Growl,,,,,,,,,,,,,,,,,,,,
,,,1 - Scratch,,,,1 - Scratch,,,,1 - Scratch,,,,,,,,,,,,,,,,,,,,
,,,8 - Clear Smog,,,,8 - Clear Smog,,,,8 - Clear Smog,,,,,,,,,,,,,,,,,,,,
,,,12 - Double Kick,,,,12 - Double Kick,,,,12 - Double Kick,,,,,,,,,,,,,,,,,,,,
,,,16 - Bulldoze,,,,16 - Bulldoze,,,,16 - Bulldoze,,,,,,,,,,,,,,,,,,,,
,POISON,,22 - Crunch,,POISON,GROUND,22 - Crunch,,POISON,GROUND,22 - Crunch,,,,,,,,,,,,,,,,,,,,
,Ability 1,Poison Point,26 - Helping Hand,,Ability 1,Battle Armor,26 - Helping Hand,,Ability 1,Battle Armor,26 - Helping Hand,,,,,,,,,,,,,,,,,,,,
,Ability 2,Poison Point,30 - Drill Run,,Ability 2,Battle Armor,30 - Drill Run,,Ability 2,Battle Armor,30 - Drill Run,,,,,,,,,,,,,,,,,,,,
,Base Stats,,34 - Poison Jab,,Base Stats,,34 - Poison Jab,,Base Stats,,34 - Poison Jab,,,,,,,,,,,,,,,,,,,,
,HP,55,38 - Acid Spray,,HP,70,38 - Acid Spray,,HP,90,38 - Acid Spray,,,,,,,,,,,,,,,,,,,,
,Attack,47,44 - Earthquake,,Attack,72(+10),44 - Earthquake,,Attack,102(+10),44 - Earthquake,,,,,,,,,,,,,,,,,,,,
,Defense,52,50 - Toxic Spikes,,Defense,77(+10),50 - Toxic Spikes,,Defense,87,50 - Toxic Spikes,,,,,,,,,,,,,,,,,,,,
,Special Attack,40,55 - Gunk Shot,,Special Attack,55,55 - Gunk Shot,,Special Attack,85(+10),55 - Gunk Shot,,,,,,,,,,,,,,,,,,,,
,Special Defense,40,60 - Slack Off,,Special Defense,75(+20),60 - Slack Off,,Special Defense,85,60 - Slack Off,,,,,,,,,,,,,,,,,,,,
,Speed,41,,,Speed,56,,,Speed,76,,,,,,,,,,,,,,,,,,,,,
,,,,,Evolves at level 16.,,,,Evolves at level 36.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Now learns TM16, TM19, TM33, TM78",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nidoran♂,,Learnset,,Nidorino,,Learnset,,Nidoking,,Learnset,,,,,,,,,,,,,,,,,,,,
