,,,,,,,,,,,
,Snivy,,Learnset,,Servine,,Learnset,,Serperior,,Learnset
,,,1 - Imprison,,,,1 - Imprison,,,,
,,,6 - Hypnosis,,,,6 - Hypnosis,,,,
,,,10 - Moonlight,,,,10 - Moonlight,,,,
,,,15 - Psybeam,,,,15 - Psybeam,,,,
,PSYCHIC,,20 - Yawn,,PSYCHIC,,20 - Yawn,,,,
,Ability 1,Magic Bounce,23 - Thunder Wave,,Ability 1,Magic Bounce,23 - Thunder Wave,,,,
,Ability 2,Analytic,27 - Psyshock,,Ability 2,Analytic,27 - Psyshock,,,,
,Base Stats,,30 - Wonder Room,,Base Stats,,30 - Wonder Room,,,,
,HP,76,33 - Trick,,HP,116,33 - Trick,,,,
,Attack,25,37 - Psystrike,,Attack,55,37 - Psystrike,,,,
,Defense,65(+20),41 - Shadow Ball,,Defense,85,41 - Shadow Ball,,,,
,Special Attack,87(+20),44 - Future Sight,,Special Attack,120(+13),44 - Future Sight,,,,
,Special Defense,75(+20),65 - Trick Room,,Special Defense,105(+10),65 - Trick Room,,,,
,Speed,24,,,Speed,29,,,,,
,,,,,Evolves at level 27.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Pidove,,Learnset,,Tranquill,,Learnset,,Unfezant,,Learnset
,,,1 - Peck,,,,1 - Peck,,,,1 - Peck
,,,1 - Growl,,,,1 - Growl,,,,1 - Growl
,,,6 - Taunt,,,,6 - Taunt,,,,6 - Taunt
,,,12 - Wing Attack,,,,12 - Wing Attack,,,,12 - Wing Attack
,,,16 - FeatherDance,,,,16 - FeatherDance,,,,16 - FeatherDance
,FLYING,,20 - Taunt,,FLYING,,20 - Taunt,,GHOST,FLYING,20 - Taunt
,Ability 1,Big Pecks,25 - Drill Peck,,Ability 1,Big Pecks,25 - Drill Peck,,Ability 1,Big Pecks,25 - Drill Peck
,Ability 2,Unburden,32 - Drill Run,,Ability 2,Unburden,32 - Drill Run,,Ability 2,Unburden,32 - Drill Run
,Base Stats,,36 - Shadow Claw,,Base Stats,,36 - Shadow Claw,,Base Stats,,36 - Shadow Claw
,HP,50,40 - Blaze Kick,,HP,62,40 - Blaze Kick,,HP,80,40 - Blaze Kick
,Attack,75(+20),44 - Shadow Sneak,,Attack,87(+10),44 - Shadow Sneak,,Attack,115,44 - Shadow Sneak
,Defense,50,60 - Brave Bird,,Defense,62,60 - Brave Bird,,Defense,80,60 - Brave Bird
,Special Attack,36,,,Special Attack,50,,,Special Attack,65,
,Special Defense,30,,,Special Defense,42,,,Special Defense,75(+20),
,Speed,73(+30),,,Speed,85(+20),,,Speed,95(+2),
,,,,,Evolves at level 16.,,,,Evolves at level 36.,,
,,,,,,,,,Now learns TM65 (just Unfezant),,
,,,,,,,,,,,
,,,,,,,,,,,
,Blitzle,,Learnset,,Zebstrika,,Learnset,,,,
,,,1 - Thunder Wave,,,,1 - Thunder Wave,,,,
,,,1 - Quick Attack,,,,1 - Quick Attack,,,,
,,,8 - Pursuit,,,,8 - Pursuit,,,,
,,,12 - Double Kick,,,,12 - Double Kick,,,,
,,,16 - Spark,,,,16 - Spark,,,,
,ELECTRIC,DARK,22 - Flame Charge,,ELECTRIC,DARK,22 - Flame Charge,,,,
,Ability 1,Reckless,26 - Discharge,,Ability 1,Reckless,26 - Discharge,,,,
,Ability 2,Motor Drive,32 - Blaze Kick,,Ability 2,Motor Drive,32 - Blaze Kick,,,,
,Base Stats,,35 - Wild Charge,,Base Stats,,35 - Wild Charge,,,,
,HP,45,40 - Night Slash,,HP,75,40 - Night Slash,,,,
,Attack,70(+10),44 - Overheat,,Attack,110(+10),44 - Overheat,,,,
,Defense,42(+10),50 - Volt Switch,,Defense,73(+10),50 - Volt Switch,,,,
,Special Attack,40,55 - Flare Blitz,,Special Attack,80,55 - Flare Blitz,,,,
,Special Defense,42(+10),60 - Volt Tackle,,Special Defense,73(+10),60 - Volt Tackle,,,,
,Speed,81(+5),,,Speed,121(+5),,,,,
,,,,,Evolves at level 35.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Roggenrola,,Learnset,,Boldore,,Learnset,,Gigalith,,Learnset
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle
,,,5 - Rock Throw,,,,5 - Rock Throw,,,,5 - Rock Throw
,,,10 - Mud Shot,,,,10 - Mud Shot,,,,10 - Mud Shot
,,,15 - Wide Guard,,,,15 - Wide Guard,,,,15 - Wide Guard
,,,20 - AncientPower,,,,20 - AncientPower,,,,20 - AncientPower
,ROCK,,25 - Mud Bomb,,ROCK,,25 - Mud Bomb,,ROCK,,25 - Mud Bomb
,Ability 1,Sturdy,29 - Power Gem,,Ability 1,Sturdy,29 - Power Gem,,Ability 1,Sturdy,29 - Power Gem
,Ability 2,Solid Rock,33 - Flash Cannon,,Ability 2,Solid Rock,33 - Flash Cannon,,Ability 2,Solid Rock,33 - Flash Cannon
,Base Stats,,36 - Earth Power,,Base Stats,,36 - Earth Power,,Base Stats,,36 - Earth Power
,HP,55,40 - Weather Ball,,HP,70,40 - Weather Ball,,HP,95(+10),40 - Weather Ball
,Attack,25(-50),44 - Gravity,,Attack,50(-55),44 - Gravity,,Attack,60(-75),44 - Gravity
,Defense,85,70 - Stealth Rock,,Defense,105,70 - Stealth Rock,,Defense,135(+5),70 - Stealth Rock
,Special Attack,75(+50),,,Special Attack,105(+55),,,Special Attack,135(+75),
,Special Defense,25,,,Special Defense,40,,,Special Defense,80(+10),
,Speed,15,,,Speed,20,,,Speed,25,
,,,,,Evolves at level 25.,,,,Evolves at level 36.,,
,,,,,,,,,"Now learns TM19, TM24, TM72, TM83",,
,,,,,,,,,,,
,,,,,,,,,,,
,Woobat,,Learnset,,Swoobat,,Learnset,,,,
,,,1 - Gust,,,,1 - Gust,,,,
,,,5 - Confusion,,,,5 - Confusion,,,,
,,,10 - Air Cutter,,,,10 - Air Cutter,,,,
,,,15 - Imprison,,,,15 - Imprison,,,,
,,,20 - Psybeam,,,,20 - Psybeam,,,,
,PSYCHIC,FLYING,23 - Roost,,PSYCHIC,FLYING,23 - Roost,,,,
,Ability 1,Unaware,27 - Fake Tears,,Ability 1,Sheer Force,27 - Fake Tears,,,,
,Ability 2,Unaware,30 - Air Slash,,Ability 2,Sheer Force,30 - Air Slash,,,,
,Base Stats,,33 - Psyshock,,Base Stats,,33 - Psyshock,,,,
,HP,65,37 - Giga Drain,,HP,67,37 - Giga Drain,,,,
,Attack,45,41 - Heat Wave,,Attack,57,41 - Heat Wave,,,,
,Defense,43,45 - Aeroblast,,Defense,65(+10),45 - Aeroblast,,,,
,Special Attack,75(+20),49 - Psychic,,Special Attack,102(+25),49 - Psychic,,,,
,Special Defense,43,53 - U-Turn,,Special Defense,65(+10),53 - U-Turn,,,,
,Speed,92(+20),62 - Tailwind,,Speed,129(+15),62 - Tailwind,,,,
,,,,,Evolves at level 30.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Drilbur,,Learnset,,Excadrill,,Learnset,,,,
,,,1 - Rapid Spin,,,,1 - Rapid Spin,,,,
,,,1 - Scratch,,,,1 - Scratch,,,,
,,,5 - Sand Tomb,,,,5 - Sand Tomb,,,,
,,,9 - Metal Claw,,,,9 - Metal Claw,,,,
,,,15 - Bulldoze,,,,15 - Bulldoze,,,,
,GROUND,,20 - X-Scissor,,GROUND,STEEL,20 - X-Scissor,,,,
,Ability 1,Sand Rush,23 - Rock Slide,,Ability 1,Sand Rush,23 - Rock Slide,,,,
,Ability 2,Mold Breaker,26 - Dig,,Ability 2,Mold Breaker,26 - Dig,,,,
,Base Stats,,31 - Drill Run,,Base Stats,,31 - Drill Run,,,,
,HP,60,36 - Iron Head,,HP,110,36 - Iron Head,,,,
,Attack,85,40 - Rock Climb,,Attack,135,40 - Rock Climb,,,,
,Defense,40,46 - Earthquake,,Defense,70(+10),46 - Earthquake,,,,
,Special Attack,30,52 - Horn Drill,,Special Attack,50,52 - Horn Drill,,,,
,Special Defense,45,60 - Iron Tail,,Special Defense,65,60 - Iron Tail,,,,
,Speed,68,,,Speed,88,,,,,
,,,,,Evolves at level 36.,,,,,,
,,,,,Now learns TM19,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Audino,,Learnset,,,,,,,,
,,,1 - Simple Beam,,,,,,,,
,,,5 - Helping Hand,,,,,,,,
,,,9 - Round,,,,,,,,
,,,13 - Encore,,,,,,,,
,,,21 - Hyper Voice,,,,,,,,
,NORMAL,,27 - Entrainment,,,,,,,,
,Ability 1,Regenerator,32 - Hyper Beam,,,,,,,,
,Ability 2,Regenerator,37 - Softboiled,,,,,,,,
,Base Stats,,44 - Icy Wind,,,,,,,,
,HP,103,50 - Follow Me,,,,,,,,
,Attack,60,,,,,,,,,
,Defense,96(+10),,,,,,,,,
,Special Attack,90(+30),,,,,,,,,
,Special Defense,96(+10),,,,,,,,,
,Speed,50,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Timburr,,Learnset,,Gurdurr,,Learnset,,Conkeldurr,,Learnset
,,,1 - Low Kick,,,,1 - Low Kick,,,,1 - Low Kick
,,,1 - Pound,,,,1 - Pound,,,,1 - Pound
,,,7 - Rock Throw,,,,7 - Rock Throw,,,,7 - Rock Throw
,,,13 - Karate Chop,,,,13 - Karate Chop,,,,13 - Karate Chop
,,,19 - Knock Off,,,,19 - Knock Off,,,,19 - Knock Off
,FIGHTING,,22 - Wide Guard,,FIGHTING,,22 - Wide Guard,,FIGHTING,ROCK,22 - Wide Guard
,Ability 1,Iron Fist,25 - Revenge,,Ability 1,Iron Fist,25 - Revenge,,Ability 1,Iron Fist,25 - Revenge
,Ability 2,Sheer Force,27 - Mach Punch,,Ability 2,Sheer Force,27 - Mach Punch,,Ability 2,Sheer Force,27 - Mach Punch
,Base Stats,,30 - Fire Punch,,Base Stats,,30 - Fire Punch,,Base Stats,,30 - Fire Punch
,HP,75,30 - Ice Punch,,HP,85,30 - Ice Punch,,HP,105,30 - Ice Punch
,Attack,80,30 - ThunderPunch,,Attack,105,30 - ThunderPunch,,Attack,140,30 - ThunderPunch
,Defense,70(+15),33 - Drain Punch,,Defense,95(+10),33 - Drain Punch,,Defense,105(+10),33 - Drain Punch
,Special Attack,25,36 - Rock Slide,,Special Attack,40,36 - Rock Slide,,Special Attack,65(+10),36 - Rock Slide
,Special Defense,35,42 - Shadow Punch,,Special Defense,50,42 - Shadow Punch,,Special Defense,65,42 - Shadow Punch
,Speed,35,48 - Hammer Arm,,Speed,40,48 - Hammer Arm,,Speed,45,48 - Hammer Arm
,,,52 - Stone Edge,,Evolves at level 25.,,52 - Stone Edge,,Evolves at level 36.,,52 - Stone Edge
,,,,,,,,,,,
,,,,,,,,,,,
,Tympole,,Learnset,,Palpitoad,,Learnset,,Seismitoad,,Learnset
,,,1 - Acid,,,,1 - Acid,,,,1 - Acid
,,,1 - Growl,,,,1 - Growl,,,,1 - Growl
,,,5 - Mud Shot,,,,5 - Mud Shot,,,,5 - Mud Shot
,,,9 - BubbleBeam,,,,9 - BubbleBeam,,,,9 - BubbleBeam
,,,14 - Sludge,,,,14 - Sludge,,,,14 - Sludge
,POISON,,19 - Mud Bomb,,POISON,GROUND,19 - Mud Bomb,,POISON,GROUND,19 - Mud Bomb
,Ability 1,Swift Swim,24 - Scald,,Ability 1,Swift Swim,24 - Scald,,Ability 1,Swift Swim,24 - Scald
,Ability 2,Water Absorb,29 - Sludge Bomb,,Ability 2,Water Absorb,29 - Sludge Bomb,,Ability 2,Water Absorb,29 - Sludge Bomb
,Base Stats,,36 - Muddy Water,,Base Stats,,36 - Muddy Water,,Base Stats,,36 - Muddy Water
,HP,50,40 - Earth Power,,HP,75,40 - Earth Power,,HP,105,40 - Earth Power
,Attack,50,44 - Power Gem,,Attack,65,44 - Power Gem,,Attack,85,44 - Power Gem
,Defense,40,50 - Sludge Wave,,Defense,65(+10),50 - Sludge Wave,,Defense,75,50 - Sludge Wave
,Special Attack,60(+10),70 - Stealth Rock,,Special Attack,85(+20),70 - Stealth Rock,,Special Attack,105(+20),70 - Stealth Rock
,Special Defense,50(+10),,,Special Defense,75(+20),,,Special Defense,95(+20),
,Speed,64,,,Speed,69,,,Speed,74,
,,,,,Evolves at level 16.,,,,Evolves at level 36.,,
,,,,,,,,,"Now learns TM19, TM33",,
,,,,,,,,,,,
,,,,,,,,,,,
,Throh,,Learnset,,,,,,,,
,,,1 - Low Kick,,,,,,,,
,,,1 - Quick Guard,,,,,,,,
,,,7 - Force Palm,,,,,,,,
,,,13 - Seismic Toss,,,,,,,,
,,,19 - Wide Guard,,,,,,,,
,FIGHTING,,22 - Vital Throw,,,,,,,,
,Ability 1,Mold Breaker,25 - Revenge,,,,,,,,
,Ability 2,Mold Breaker,29 - Helping Hand,,,,,,,,
,Base Stats,,33 - Storm Throw,,,,,,,,
,HP,120,38 - Payback,,,,,,,,
,Attack,120(+20),44 - Hammer Arm,,,,,,,,
,Defense,100(+15),50 - Endure,,,,,,,,
,Special Attack,30,60 - Superpower,,,,,,,,
,Special Defense,90(+5),,,,,,,,,
,Speed,45,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Sawk,,Learnset,,,,,,,,
,,,1 - Low Kick,,,,,,,,
,,,1 - Quick Guard,,,,,,,,
,,,7 - Karate Chop,,,,,,,,
,,,13 - Seismic Toss,,,,,,,,
,,,19 - Wide Guard,,,,,,,,
,FIGHTING,,22 - Knock Off,,,,,,,,
,Ability 1,Mold Breaker,25 - Brick Break,,,,,,,,
,Ability 2,Mold Breaker,29 - Rock Slide,,,,,,,,
,Base Stats,,33 - Blaze Kick,,,,,,,,
,HP,75,38 - Night Slash,,,,,,,,
,Attack,125,43 - Sky Uppercut,,,,,,,,
,Defense,75,50 - Endure,,,,,,,,
,Special Attack,50(+20),60 - Close Combat,,,,,,,,
,Special Defense,75,70 - Reversal,,,,,,,,
,Speed,105(+20),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
